Dia ; S ; I ; R ; N
0;999.0;1.0;0.0;1000.0
1;995.5195823285038;3.0708040345007417;1.409613636995556;1000.0000000000001
2;984.9337981649347;9.368854138257833;5.697347696807544;1000.0000000000001
3;953.561113370726;28.030897584300593;18.407989044973597;1000.0000000000003
4;867.3556817772275;79.28281916371438;53.361499059058424;1000.0000000000003
5;673.3691513871405;194.4259057690579;132.2049428438019;1000.0000000000002
6;386.9754770030917;363.57028804413017;249.45423495277845;1000.0000000000005
7;157.39925644061373;497.0162418528845;345.58450170650207;1000.0000000000002
8;51.513854310122014;555.2637454454623;393.2224002444159;1000.0000000000002
9;15.54790952724808;571.198565777611;413.25352469514127;1000.0000000000002
10;4.611412598214604;572.0382812486972;423.3503061530887;1000.0000000000006
11;1.3729307805217597;568.2760416036085;430.3510276158702;1000.0000000000005
12;0.4129200762819582;563.1916472638038;436.3954326599148;1000.0000000000005
13;0.12567645348756035;557.7564136641046;442.1179098824084;1000.0000000000006
14;0.038725419145990245;552.2557684735024;447.70550610735216;1000.0000000000005
15;0.012081054644899916;546.7738959177246;453.2140230276309;1000.0000000000005
16;0.0038154158722507455;541.3356287746548;458.6605558094732;1000.0000000000002
17;0.0012197038644762557;535.9481167394413;464.0506635566943;1000.0
18;3.9462594629856084E-4;530.6131814073069;469.38642396674686;1000.0000000000001
19;1.292046407081512E-4;525.3310220177036;474.66884877765574;1000.0000000000001
20;4.280304022086378E-5;520.1013403257241;479.89861687123573;1000.0
21;1.434559288864706E-5;514.9236861623691;485.07629949203823;1000.0000000000002
22;4.863554294779294E-6;509.79756484246707;490.20243029397864;1000.0
23;1.6677274974392684E-6;504.7224709229012;495.27752740937126;1000.0
24;5.783327781361344E-7;499.69789891417133;500.3021005074959;1000.0
25;2.0279532055058222E-7;494.72334669566254;505.2766531015423;1000.0000000000002
26;7.189722332655505E-8;489.798316594393;510.20168333371004;1000.0000000000002
27;2.5768413622512057E-8;484.922315707162;515.0776842670697;1000.0000000000001
28;9.335392255269351E-9;480.0948559751383;519.9051440155263;1000.0
29;3.4181833790163996E-9;475.31545417675363;524.6845458198281;1000.0
