Dia ; S ; I ; R ; N
0;999.0;1.0;0.0;1000.0
1;995.1729265078102;3.277052789524153;1.5500207026657278;1000.0000000000001
2;982.7879393019978;10.645429366590452;6.566631331411803;1000.0
3;944.1422365812408;33.632268275956655;22.225495142802444;999.9999999999999
4;836.0650078625322;97.87075305390887;66.06423908355873;999.9999999999998
5;607.7068785512372;233.2905616585477;159.00255979021486;999.9999999999997
6;320.95708635172446;402.1485103737889;276.8944032744863;999.9999999999997
7;126.70120552157091;514.0546569251632;359.24413755326555;999.9999999999997
8;42.975370975739054;558.8841289296909;398.14050009456946;999.9999999999993
9;13.844039568883916;570.6990572545714;415.4569031765441;999.9999999999993
10;4.41699753784299;570.6433005148906;424.9397019472657;999.9999999999993
11;1.4158548839280107;566.7553440323078;431.82880108376355;999.9999999999993
12;0.4580368065131228;561.6873302906049;437.854632902881;999.9999999999991
13;0.14974838248038286;556.2823298104108;443.5679218071078;999.9999999999991
14;0.049494757328802944;550.8070259644696;449.14347927820063;999.9999999999991
15;0.016538990219513255;545.3460616263868;454.6373993833928;999.9999999999991
16;0.005587083943714604;539.9263101935792;460.06810272247634;999.9999999999993
17;0.0019078651626111;534.5561482267228;465.4419439081138;999.9999999999992
18;6.584944109070433E-4;529.2379709132008;470.76137059238744;999.9999999999991
19;2.2969578336022548E-4;523.9722208907294;476.0275494134865;999.9999999999993
20;8.09664302217094E-5;518.7586988984501;481.2412201351188;999.9999999999991
21;2.8837845260423187E-5;513.5969946950705;486.4029764670832;999.9999999999989
22;1.0377235354821738E-5;508.48663022377895;491.51335939898473;999.9999999999991
23;3.7723952889548487E-6;503.4271076565811;496.57288857102276;999.9999999999991
24;1.3852413499271568E-6;498.4179256641956;501.58207295056224;999.9999999999992
25;5.137631118011081E-7;493.45858496129597;506.5414145249401;999.9999999999991
26;1.924360943822875E-7;488.5485901947102;511.4514096128528;999.9999999999991
27;7.278697086651674E-8;483.68745057203745;516.3125493551747;999.9999999999991
28;2.7798542865392137E-8;478.8746800522418;521.1253199199587;999.999999999999
29;1.0718891845364487E-8;474.1097973825967;525.8902026066834;999.999999999999
